Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721230969.965616,medium,6.jpg,0.2997584342956543,1060.7504844665527,1.3812987804412842,belgium,two,50.2,1000
1721230971.5018606,medium,6.jpg,0.44832587242126465,1058.4611892700195,1.5350866317749023,belgium,two,50.2,1000
1721230972.7812798,medium,6.jpg,0.20707035064697266,1057.1553707122803,1.278623104095459,belgium,two,50.2,1000
1721230974.385796,medium,6.jpg,0.5001766681671143,1075.9189128875732,1.6034111976623535,belgium,two,50.2,1000
1721230975.7349648,medium,6.jpg,0.22967839241027832,1098.4017848968506,1.3482387065887451,belgium,two,50.2,1000
1721230977.2074993,medium,6.jpg,0.3901858329772949,1056.86354637146,1.4717669486999512,belgium,two,50.2,1000
1721230978.508724,medium,6.jpg,0.2314455509185791,1050.5483150482178,1.300260066986084,belgium,two,50.2,1000
1721230979.9066184,medium,6.jpg,0.3082916736602783,1063.725471496582,1.396998405456543,belgium,two,50.2,1000
1721230981.1947634,medium,6.jpg,0.20397162437438965,1062.8669261932373,1.2874815464019775,belgium,two,50.2,1000
1721230982.574019,medium,6.jpg,0.29927659034729004,1056.25319480896,1.3784902095794678,belgium,two,50.2,1000
1721230984.0450208,medium,6.jpg,0.3636317253112793,1077.5227546691895,1.4700615406036377,belgium,two,50.2,1000
1721230985.9214828,medium,6.jpg,0.7520062923431396,1103.4162044525146,1.87565016746521,belgium,two,50.2,1000
1721230987.705914,medium,6.jpg,0.6909539699554443,1059.830665588379,1.783545970916748,belgium,two,50.2,1000
1721230989.238083,medium,6.jpg,0.4314427375793457,1079.591989517212,1.5312750339508057,belgium,two,50.2,1000
1721230990.9975476,medium,6.jpg,0.6517133712768555,1076.6279697418213,1.7586805820465088,belgium,two,50.2,1000
1721230992.4221652,medium,6.jpg,0.32140350341796875,1081.2432765960693,1.4236102104187012,belgium,two,50.2,1000
1721230994.050439,medium,6.jpg,0.5380208492279053,1062.9668235778809,1.6274640560150146,belgium,two,50.2,1000
1721230995.531586,medium,6.jpg,0.37479162216186523,1085.3002071380615,1.4803657531738281,belgium,two,50.2,1000
1721230997.3072078,medium,6.jpg,0.6903483867645264,1059.3135356903076,1.7748832702636719,belgium,two,50.2,1000
1721230998.887586,medium,6.jpg,0.502830982208252,1060.87327003479,1.5796058177947998,belgium,two,50.2,1000
1721231000.4127092,medium,6.jpg,0.43254756927490234,1062.0317459106445,1.5242648124694824,belgium,two,50.2,1000
1721231001.8835847,medium,6.jpg,0.38001275062561035,1066.3559436798096,1.470015048980713,belgium,two,50.2,1000
1721231003.6276536,medium,6.jpg,0.6592016220092773,1056.323766708374,1.7432360649108887,belgium,two,50.2,1000
1721231005.346345,medium,6.jpg,0.6293280124664307,1065.7098293304443,1.7174174785614014,belgium,two,50.2,1000
1721231006.8576097,medium,6.jpg,0.43932509422302246,1052.0236492156982,1.510439395904541,belgium,two,50.2,1000
1721231008.4117591,medium,6.jpg,0.4831216335296631,1045.4907417297363,1.5533554553985596,belgium,two,50.2,1000
1721231009.8727446,medium,6.jpg,0.37030911445617676,1069.3376064300537,1.4599707126617432,belgium,two,50.2,1000
1721231011.231026,medium,6.jpg,0.2824835777282715,1048.8097667694092,1.3574659824371338,belgium,two,50.2,1000
1721231012.8160927,medium,6.jpg,0.48853278160095215,1074.2006301879883,1.5843019485473633,belgium,two,50.2,1000
1721231014.2839735,medium,6.jpg,0.34610843658447266,1089.318037033081,1.4671447277069092,belgium,two,50.2,1000
1721231016.036806,medium,6.jpg,0.628617525100708,1102.9438972473145,1.751967191696167,belgium,two,50.2,1000
1721231017.3771045,medium,6.jpg,0.2532958984375,1060.6632232666016,1.3395438194274902,belgium,two,50.2,1000
1721231018.9490325,medium,6.jpg,0.4857773780822754,1064.4423961639404,1.571150779724121,belgium,two,50.2,1000
1721231020.447881,medium,6.jpg,0.4138164520263672,1063.664197921753,1.4981305599212646,belgium,two,50.2,1000
1721231021.9022074,medium,6.jpg,0.3031315803527832,1126.9540786743164,1.4535393714904785,belgium,two,50.2,1000
1721231023.5123756,medium,6.jpg,0.5358245372772217,1053.396463394165,1.6094350814819336,belgium,two,50.2,1000
1721231025.0959659,medium,6.jpg,0.4703829288482666,1086.2252712249756,1.5828142166137695,belgium,two,50.2,1000
1721231026.6251757,medium,6.jpg,0.38090991973876953,1121.201515197754,1.5284862518310547,belgium,two,50.2,1000
1721231028.518457,medium,6.jpg,0.8155636787414551,1048.8324165344238,1.8921916484832764,belgium,two,50.2,1000
1721231030.3787324,medium,6.jpg,0.7597293853759766,1078.9625644683838,1.8594880104064941,belgium,two,50.2,1000
1721231032.0196574,medium,6.jpg,0.5389680862426758,1072.4706649780273,1.6401119232177734,belgium,two,50.2,1000
1721231033.669126,medium,6.jpg,0.5401146411895752,1090.1358127593994,1.6486754417419434,belgium,two,50.2,1000
1721231035.0956857,medium,6.jpg,0.3243269920349121,1066.4889812469482,1.425766944885254,belgium,two,50.2,1000
1721231036.5449452,medium,6.jpg,0.36041259765625,1066.802978515625,1.4483191967010498,belgium,two,50.2,1000
1721231037.7794244,medium,6.jpg,0.17285656929016113,1038.1889343261719,1.2337098121643066,belgium,two,50.2,1000
1721231039.220721,medium,6.jpg,0.37682151794433594,1048.6750602722168,1.440439224243164,belgium,two,50.2,1000
1721231040.478901,medium,6.jpg,0.1826457977294922,1051.656723022461,1.2563600540161133,belgium,two,50.2,1000
1721231041.8378637,medium,6.jpg,0.2754812240600586,1056.9310188293457,1.358027458190918,belgium,two,50.2,1000
1721231043.1490922,medium,6.jpg,0.23893022537231445,1056.9977760314941,1.3103973865509033,belgium,two,50.2,1000
1721231044.5943449,medium,6.jpg,0.33473706245422363,1082.35764503479,1.4442400932312012,belgium,two,50.2,1000
1721231045.8618417,medium,6.jpg,0.1719515323638916,1078.026533126831,1.2667500972747803,belgium,two,50.2,1000
1721231047.3618803,medium,6.jpg,0.40590715408325195,1060.6040954589844,1.499274730682373,belgium,two,50.2,1000
1721231048.6244152,medium,6.jpg,0.18342232704162598,1056.7996501922607,1.2611966133117676,belgium,two,50.2,1000
1721231050.0015857,medium,6.jpg,0.2905404567718506,1062.2568130493164,1.376328468322754,belgium,two,50.2,1000
1721231051.2721655,medium,6.jpg,0.17794132232666016,1070.619821548462,1.2698454856872559,belgium,two,50.2,1000
1721231052.728342,medium,6.jpg,0.33274126052856445,1097.7325439453125,1.455463171005249,belgium,two,50.2,1000
1721231054.0629604,medium,6.jpg,0.2440016269683838,1070.9011554718018,1.3339009284973145,belgium,two,50.2,1000
1721231055.5241935,medium,6.jpg,0.35900211334228516,1075.8311748504639,1.4604876041412354,belgium,two,50.2,1000
1721231057.0154305,medium,6.jpg,0.4013385772705078,1061.5723133087158,1.4899306297302246,belgium,two,50.2,1000
1721231058.239132,medium,6.jpg,0.16027522087097168,1042.6087379455566,1.2228655815124512,belgium,two,50.2,1000
1721231059.8247364,medium,6.jpg,0.49190378189086914,1067.6450729370117,1.5847923755645752,belgium,two,50.2,1000
1721231061.0970142,medium,6.jpg,0.18521356582641602,1066.8606758117676,1.2714126110076904,belgium,two,50.2,1000
1721231062.5410712,medium,6.jpg,0.353503942489624,1064.7714138031006,1.4432668685913086,belgium,two,50.2,1000
1721231063.7733827,medium,6.jpg,0.14541077613830566,1068.3612823486328,1.2310407161712646,belgium,two,50.2,1000
1721231065.4904697,medium,6.jpg,0.6142880916595459,1067.305564880371,1.7162871360778809,belgium,two,50.2,1000
1721231066.8837476,medium,6.jpg,0.30831122398376465,1052.995204925537,1.3920271396636963,belgium,two,50.2,1000
